,ws_users_activated,ws_users_deactivated,ws_users_invited,action_create_project,action_export_report,action_api_and_webhooks,action_time_entries_via_tracker,action_start_trial,action_import_csv,action_create_invoice,action_lock_entries,action_add_targets,action_connect_quickbooks,action_create_expense,action_project_budget,country,value_days_to_purchase,value_number_of_active_months,value_transactions_number,value_regular_seats,value_kiosk_seats,revenue,churned_status
20,12,5,2,6,1,0,0,0,0,0,0,0,0,0,0,Florida,36,1,4,16,0,122.356,No
21,1,0,0,25,0,0,0,0,0,0,0,0,0,7,0,Illinois,197,11,4,1,0,51.948,No
22,14,0,0,25,27,0,0,0,0,0,22,2,0,0,19,Alabama,25,0,16,15,0,2138.227,No
23,1,0,0,4,20,0,0,0,0,0,0,0,0,0,0,France,14,11,10,1,0,129.87,No
24,1,0,0,1,0,0,0,0,0,6,0,0,0,0,6,Israel,0,0,1,1,0,12.987,Yes
25,14,0,2,12,5,0,0,0,0,0,0,0,0,0,20,Germany,10,0,11,16,0,639.938,No
26,6,0,1,19,77,1,0,0,0,1,0,0,0,0,85,Angola,231,7,3,8,0,175.058,Yes
27,1,0,0,1,2,0,0,1,0,7,0,0,0,0,0,Ukraine,9,4,3,1,0,38.961,No
28,3,0,0,30,11,0,0,0,0,0,0,0,0,0,52,United Kingdom,0,0,1,3,0,38.961,Yes
29,5,2,0,3,38,0,43,1,0,11,3,0,0,0,0,Belarus,285,11,11,5,0,354.393,No
30,1,0,0,6,1,1,0,0,0,3,0,0,0,0,0,Netherlands,1,10,11,1,0,142.857,No
31,1,0,0,151,16,0,0,0,0,0,0,0,0,0,0,Australia,97,8,3,1,0,38.961,No
32,8,2,0,21,4,0,2,0,0,0,0,0,0,2,3,Australia,334,11,17,8,0,1332.604,No
33,11,0,0,41,1,0,0,0,0,0,0,1,0,0,73,Chile,52,2,2,11,0,285.714,Yes
34,1,1,0,17,0,0,0,0,0,0,0,0,0,0,0,New Zealand,0,3,3,1,0,38.961,No
35,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,Switzerland,0,4,4,1,0,51.948,No
36,3,0,0,6,0,0,1,0,0,14,0,0,0,0,10,Connecticut,0,1,1,3,0,38.961,No
37,3,2,0,2,0,0,6,0,0,0,0,0,0,12,0,Singapore,13,8,8,3,0,311.688,No
38,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,Virginia,0,1,2,1,0,25.974,Yes
39,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Germany,0,0,1,1,0,12.987,Yes
40,1,0,0,1,0,0,0,0,0,0,0,0,1,3,0,Ohio,13,10,8,1,0,103.896,No
41,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,New Jersey,7,4,5,1,0,64.935,Yes
42,11,0,0,18,0,0,0,1,0,0,0,0,0,0,0,Seychelles,32,1,4,11,0,427.843,No
43,0,0,0,2,0,0,0,0,0,4,2,0,0,2,0,Canada,0,3,4,1,0,51.948,Yes
44,1,0,0,0,2,0,0,0,0,0,0,0,0,0,9,Puerto Rico,0,1,1,1,0,12.987,No
45,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,Illinois,0,13,7,1,0,90.909,No
46,5,0,0,20,2,0,0,0,0,3,0,0,0,0,5,Indonesia,5,2,2,5,0,129.87,No
47,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,Philippines,0,8,5,2,0,114.777,Yes
48,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Arizona,209,10,4,1,0,51.948,Yes
49,2,0,0,13,15,0,0,0,0,0,0,0,0,0,0,North Carolina,10,0,4,2,0,77.922,No
50,1,0,0,1,2,0,0,0,0,0,0,1,0,0,3,Ukraine,135,11,2,1,0,25.974,Yes
51,6,0,0,1,40,0,6,0,0,13,0,0,0,0,1,Arizona,126,4,3,6,0,556.998,Yes
52,11,4,0,9,40,1,0,0,0,0,0,0,0,0,0,Florida,69,2,4,11,0,516.88,No
53,1,0,0,2,0,0,0,0,0,6,0,0,0,0,0,Texas,0,1,2,1,0,25.974,Yes
54,16,0,0,1053,18,0,2,0,0,0,0,0,0,0,0,France,312,12,11,16,0,1442.35,No
55,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Puerto Rico,0,5,5,1,0,64.935,No
56,6,0,0,15,4,1,0,0,0,1,0,0,0,0,18,South Africa,156,11,6,6,0,467.532,No
57,1,0,0,11,0,1,0,0,0,0,0,0,0,0,8,Texas,151,7,8,1,0,73.099,No
58,7,2,0,6,249,0,0,0,0,0,12,0,0,0,0,New Jersey,230,8,8,7,0,558.116,No
59,1,0,0,11,0,1,0,0,0,0,0,0,0,0,19,Brazil,0,0,2,1,0,12.987,Yes
60,1,0,0,9,0,0,0,1,0,2,0,0,0,1,0,Belgium,9,1,1,1,0,12.987,No
61,2,0,0,1,6,0,4,0,0,0,0,0,0,7,0,California,226,9,14,2,0,190.125,No
62,6,0,0,106,104,0,49,1,0,3,3,0,0,0,13,Belgium,20,1,17,6,0,688.35,No
63,11,0,0,727,15,0,0,0,0,0,0,2,0,0,9,Barbados,92,3,10,11,0,745.563,No
64,19,0,2,23,42,0,627,1,4,1,0,0,0,1,1,Germany,26,8,7,21,0,1909.089,No
65,1,0,0,7,4,0,0,1,0,2,2,2,0,0,10,Canada,7,8,8,1,0,144.898,No
66,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,California,0,0,2,1,0,12.987,Yes
67,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,Pennsylvania,215,8,2,1,0,25.974,Yes
68,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Canada,0,0,1,2,0,25.974,No
69,16,0,0,9,0,5,0,1,0,0,0,0,0,0,0,Australia,37,1,2,16,0,194.402,No
70,3,0,0,1,20,0,10,0,0,0,0,0,0,0,0,California,273,9,11,3,0,346.086,No
71,1,0,0,2,0,0,0,0,0,54,0,0,0,0,0,California,80,3,9,1,0,71.331,Yes
72,7,1,0,124,61,0,86,0,0,0,0,0,0,375,172,Illinois,304,11,11,7,0,577.031,No
73,1,0,0,9,6,0,0,0,0,0,0,0,0,0,8,Mexico,43,1,1,1,0,12.987,Yes
74,4,0,0,14,2,0,3,0,0,3,0,0,0,0,0,Florida,2,1,2,4,0,77.922,No
75,1,0,0,2,0,0,1,0,0,2,0,0,1,0,3,South Africa,11,3,3,1,0,38.961,No
76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,France,0,1,2,1,0,25.974,Yes
77,10,6,0,43,61,2,9,0,0,0,2,2,0,0,35,South Africa,278,9,13,11,0,1332.734,No
78,12,0,4,72,32,0,65,0,0,0,3,1,0,26,90,Albania,188,6,10,16,0,792.883,No
79,1,0,0,1,0,0,0,0,0,2,0,0,0,3,0,Canada,1,0,1,1,0,12.987,Yes
80,1,0,0,4,0,0,0,0,0,0,0,2,0,0,2,California,0,1,2,1,0,25.974,Yes
81,9,0,0,7,0,0,0,0,0,0,0,0,0,0,5,Germany,204,7,8,9,0,417.43,No
82,1,6,0,11,0,0,0,1,0,0,0,2,0,0,0,Australia,168,6,9,1,0,394.693,Yes
83,1,0,1,67,66,1,0,0,0,0,0,0,0,0,0,United Kingdom,77,3,15,2,0,265.629,No
84,1,0,0,16,12,0,0,0,0,0,0,0,0,0,0,New York,92,13,15,1,0,160.498,No
85,7,0,0,105,52,0,0,1,0,34,0,0,0,23,44,Belgium,420,14,5,7,0,389.61,No
89,1,0,0,3,0,1,15,1,0,15,0,0,0,0,0,California,140,14,9,1,0,116.883,No
90,1,0,0,35,42,0,25,0,0,22,0,0,0,0,0,Alabama,36,2,13,1,0,165.269,No
91,4,0,0,93,89,0,0,0,0,0,25,2,0,0,84,France,67,3,13,4,0,567.905,No
92,7,0,0,80,55,0,0,0,0,0,0,0,0,0,15,Oregon,396,13,15,6,0,579.527,No
93,2,8,0,12,7,0,0,0,0,0,5,0,0,0,2,Florida,55,6,5,10,0,649.35,Yes
94,2,0,0,75,90,0,60,0,0,2,0,0,0,1,0,Belgium,1,0,15,2,0,229.84,No
95,1,14,0,14,73,0,0,0,0,0,8,0,0,0,14,Bangladesh,18,11,20,2,0,768.651,Yes
99,1,0,0,22,2,0,0,0,1,30,0,3,0,8,34,California,8,6,7,1,0,84.409,Yes
100,14,2,0,4,56,0,1,1,0,0,0,0,0,0,0,France,257,14,5,15,0,974.025,No
101,16,7,0,35,187,0,0,0,50,0,2,3,0,0,56,Massachusetts,365,14,17,17,0,2301.858,No
102,1,0,0,6,12,0,0,0,0,35,0,0,0,0,0,Arizona,302,10,13,1,0,148.005,No
103,3,1,0,4,3,0,0,0,0,0,0,0,0,0,0,California,5,6,6,3,0,222.066,Yes
104,1,1,0,7,11,0,0,0,0,0,0,0,0,0,0,Germany,109,3,8,1,0,107.341,Yes
105,1,0,0,1,0,0,0,0,0,20,0,0,0,37,0,Florida,11,13,13,1,0,168.831,No
106,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,California,26,0,8,1,0,544.089,Yes
107,1,0,0,4,2,0,0,0,0,0,0,0,0,0,4,Illinois,0,8,9,1,0,116.883,Yes
108,1,0,0,14,15,0,0,0,0,0,2,0,1,0,6,Canada,0,13,13,1,0,168.831,No
109,5,0,0,29,0,0,0,0,0,0,0,0,1,0,0,Florida,326,10,2,5,0,64.61,Yes
110,5,2,1,5,7,5,0,0,0,0,0,0,0,0,12,California,344,13,9,6,0,486.993,No
111,1,2,0,28,0,0,0,0,0,0,0,0,0,11,21,United Kingdom,118,13,9,1,0,116.883,No
112,4,0,0,24,6,0,24,0,0,0,0,0,0,8,0,Indiana,306,13,14,4,0,556.153,No
113,1,0,0,33,0,1,0,0,0,0,0,0,0,0,63,Germany,12,13,13,1,0,168.831,No
114,13,1,0,59,14,2,43,0,0,0,0,0,0,0,12,Belgium,103,3,18,13,0,1606.93,No
116,2,0,0,14,0,0,0,0,0,0,0,0,0,0,0,United Kingdom,2,5,6,2,0,155.844,Yes
117,2,0,0,2,2,0,0,1,0,5,0,0,0,0,6,Germany,113,12,13,2,0,253.448,No
118,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,California,384,12,15,4,0,383.786,Yes
120,1,0,0,4,0,0,0,0,0,21,0,0,0,8,4,Washington,16,6,7,1,0,90.909,Yes
121,3,0,0,230,142,0,4,1,0,1,0,0,0,0,38,South Africa,126,9,14,3,0,306.007,Yes
123,19,4,1,35,88,0,137,0,0,3,0,1,0,15,34,Germany,328,13,12,20,0,1351.311,No
124,2,0,0,31,15,0,0,0,0,0,0,0,0,55,0,Canada,0,6,7,2,0,181.818,Yes
126,1,0,0,2,0,0,0,0,0,3,0,0,1,0,0,Hungary,0,13,13,1,0,168.831,No
127,6,0,0,180,169,0,0,0,0,0,0,0,0,87,81,Arizona,380,12,15,7,0,720.174,No
128,1,0,0,10,0,0,0,0,0,0,0,0,0,1,0,California,46,13,12,1,0,155.844,No
129,1,0,0,12,0,1,0,0,0,0,0,0,0,0,25,California,308,11,2,1,0,25.974,Yes
130,2,0,0,87,142,0,49,0,0,1,1,0,2,0,2,Ireland,244,8,12,2,0,329.901,No
131,2,3,0,34,76,0,4,0,0,8,0,1,0,0,16,Australia,278,9,14,2,0,984.035,No
133,5,1,1,96,33,0,0,0,0,0,0,0,0,0,163,California,14,0,16,7,0,878.527,Yes
134,1,0,0,1,5,0,0,0,0,0,0,0,0,0,0,Finland,0,7,8,1,0,103.896,Yes
136,1,0,0,4,0,0,7,0,0,46,0,0,0,1,0,Michigan,56,13,13,1,0,155.844,No
137,1,0,0,9,0,0,0,0,0,24,0,0,0,0,0,Malaysia,243,13,5,1,0,64.935,No
138,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,India,19,13,12,4,0,623.376,No
139,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,New Jersey,273,9,12,2,0,193.102,No
141,7,2,0,11,40,1,74,0,2,0,0,0,0,101,13,Arkansas,61,3,14,7,0,1045.603,No
142,2,0,0,29,34,0,0,0,0,0,0,0,0,0,0,Australia,9,8,9,2,0,233.766,Yes
144,1,2,0,109,0,0,7,0,0,0,0,0,0,0,59,Suriname,152,5,11,1,0,131.469,Yes
145,3,0,0,56,1,0,0,0,0,269,5,0,1,98,9,Canada,213,7,13,3,0,384.15,No
146,99,0,1,366,170,0,381,0,0,8,12,0,0,43,10,Arizona,391,13,25,100,0,10304.06,No
147,6,0,0,54,16,0,0,0,0,10,16,0,0,12,82,Croatia,372,12,10,6,0,414.817,No
148,1,0,0,5,0,0,0,0,0,1,0,0,0,0,0,Canada,59,9,8,1,0,103.896,Yes
149,3,0,0,243,4,0,15,0,0,253,0,0,0,52,0,Colorado,254,8,16,3,0,246.337,No
151,34,15,0,31,377,0,0,1,0,143,36,4,0,0,49,Brazil,40,1,9,35,0,2440.568,Yes
152,36,3,0,7,50,0,0,0,0,0,22,3,0,0,0,Canada,322,10,25,39,0,4523.831,No
153,8,0,0,31,1,0,5,0,0,115,0,0,1,37,1,California,342,11,19,7,1,875.55,No
154,17,0,0,64,354,0,447,0,11,0,0,0,0,0,0,California,300,10,21,17,0,2179.853,No
155,22,1,0,56,73,4,105,0,0,0,0,0,0,0,75,Germany,183,8,18,23,0,3058.276,No
156,4,0,3,35,5,1,0,0,0,0,0,0,0,0,0,Mississippi,268,9,13,7,0,896.168,No
157,2,2,0,0,0,0,0,0,6,0,0,0,0,25,0,California,43,1,12,2,0,321.191,No
158,1,0,0,44,34,0,0,1,0,2,0,0,0,76,0,Italy,15,13,12,1,0,155.844,No
159,8,5,0,7,38,2,0,0,0,1,0,2,1,35,0,Canada,258,8,12,8,0,511.94,Yes
160,1,0,0,8,1,0,0,1,0,83,0,0,0,48,2,California,28,13,12,1,0,155.844,No
161,11,8,2,97,11,5,51,0,0,0,0,0,0,0,131,Argentina,89,13,10,13,0,1688.31,No
162,2,0,0,4,11,0,1,1,0,16,0,0,0,0,3,Canada,16,2,7,1,0,77.064,Yes
163,4,0,0,35,14,1,2,0,0,0,0,0,0,0,20,California,380,13,2,4,0,51.233,No
164,7,0,0,155,990,0,86,0,0,0,16,1,0,0,136,Arizona,354,12,14,7,0,699.881,No
167,1,0,0,31,4,0,4,1,0,28,0,0,0,0,31,California,52,13,11,1,0,142.857,No
168,1,0,0,22,1,0,0,0,0,51,0,0,0,0,0,Florida,268,9,8,1,0,76.596,Yes
170,3,0,0,50,0,0,0,0,0,0,0,1,0,3,0,California,8,13,12,3,0,467.532,No
171,36,0,2,15,10,1,0,1,0,0,2,1,0,0,0,Dominican Republic,238,8,31,38,0,3509.727,No
172,5,3,0,124,2,0,0,1,0,3,0,0,0,0,17,Argentina,120,4,11,6,0,727.909,No
173,1,0,0,7,45,0,0,0,0,0,0,0,0,0,0,United Kingdom,276,13,4,1,0,51.948,No
174,1,0,0,22,21,0,8,1,0,39,0,0,0,1,20,Spain,258,13,4,1,0,51.948,No
175,1,0,0,12,0,0,0,0,0,43,0,0,0,0,1,Albania,7,13,12,1,0,155.844,No
176,3,0,0,10,7,0,0,1,37,2,0,0,0,0,0,South Africa,27,2,12,4,0,363.376,Yes
177,14,1,0,41,82,0,118,1,0,1,8,0,0,3,24,Australia,348,12,2,16,0,205.894,No
178,7,1,0,27,19,0,0,0,1,0,0,0,0,0,0,Lithuania,51,2,7,7,0,530.218,Yes
179,11,1,0,111,12,0,66,0,0,0,0,0,0,0,112,Canada,248,8,15,12,0,1064.154,No
180,1,0,0,16,0,0,3,0,0,0,0,0,0,1,1,Canada,335,12,2,1,0,25.974,No
183,24,0,0,139,64,0,201,0,0,1405,33,0,0,304,2,Delaware,19,1,19,27,0,4148.092,No
184,7,0,5,4,12,0,0,0,0,0,2,2,0,0,0,Tennessee,293,10,1,16,0,207.792,Yes
185,17,5,0,76,7,1,95,0,1,0,0,1,0,0,11,Austria,365,12,19,18,0,2382.757,No
186,32,0,0,5,58,0,4,1,0,0,4,1,1,0,0,Arizona,35,1,23,32,0,3604.822,No
187,6,0,0,0,31,0,0,0,0,0,0,0,0,0,0,Australia,215,7,14,6,0,784.381,No
188,1,0,0,16,8,0,0,0,1,53,0,0,0,0,34,France,18,11,11,1,0,142.857,Yes
189,2,4,0,15,43,0,0,1,1,0,21,5,0,0,4,Arizona,219,8,12,2,0,419.016,Yes
192,7,0,0,87,1,0,0,0,3,0,0,0,0,0,39,Australia,356,13,14,7,0,955.006,No
193,6,0,0,39,182,0,31,1,0,0,5,0,0,0,17,Australia,78,13,14,6,0,895.128,No
194,3,1,0,50,0,0,0,1,0,0,0,0,0,29,8,South Africa,232,9,11,3,0,346.814,Yes
195,1,1,0,30,65,0,0,0,22,0,0,0,0,0,0,California,152,11,7,2,0,181.818,Yes
197,12,1,0,26,92,1,4,1,0,126,0,1,0,30,22,Hungary,251,13,13,12,0,2092.545,No
198,4,0,0,4,10,0,0,0,0,0,0,0,0,0,4,Germany,30,1,10,4,0,368.654,Yes
199,1,0,0,2,19,0,0,0,0,1,0,0,0,0,0,Bahamas,4,13,12,1,0,155.844,No
200,2,0,0,18,0,0,0,0,0,0,0,0,0,9,0,Philippines,116,13,11,2,0,252.98,No
201,9,0,0,76,169,1,0,0,0,760,6,2,1,79,2,California,18,4,14,12,0,1754.051,No
202,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,Armenia,135,5,13,3,0,419.185,No
203,3,0,1,29,13,0,0,0,1,1,0,0,0,0,0,France,310,13,2,4,0,103.896,No
204,4,1,0,26,0,0,0,1,0,52,0,0,0,99,0,Bahamas,189,6,15,5,0,654.914,No
205,1,0,0,13,59,0,0,1,0,51,0,0,0,34,0,Germany,98,14,9,1,0,116.883,No
206,14,1,1,4,4,0,0,0,0,0,0,0,0,0,0,Canada,2,0,11,16,0,1026.753,Yes
207,8,0,2,33,138,0,0,0,0,4,0,0,2,33,0,Cayman Islands,101,13,13,10,0,1531.647,No
208,12,0,0,14,3,0,0,1,1,0,0,0,0,0,0,Florida,7,1,12,12,0,2368.743,Yes
209,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,Illinois,310,11,15,8,0,443.092,No
210,6,14,1,27,92,0,0,1,0,0,0,1,0,0,0,Arizona,57,2,16,11,0,1858.805,Yes
211,1,0,0,6,56,0,0,0,0,3,0,0,0,0,4,Germany,287,10,1,1,0,12.987,Yes
212,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,Poland,293,11,2,1,0,25.974,Yes
213,1,0,0,5,39,0,0,0,0,0,0,0,0,0,0,Belgium,222,13,5,1,0,64.935,No
214,10,1,0,18,103,1,0,0,13,7,0,0,0,0,8,Argentina,381,13,21,11,0,1994.395,No
215,2,0,0,45,0,0,0,0,0,0,2,0,0,0,0,France,15,7,7,2,0,181.818,Yes
216,158,9,5,172,714,127,423,0,64,19,132,2,0,0,40,Argentina,240,8,90,170,0,20844.252,No
217,4,0,0,26,28,0,0,0,0,10,0,1,0,0,34,Australia,361,13,1,5,0,64.935,No
218,6,0,0,1,1,0,33,0,0,0,0,0,0,0,0,Australia,181,8,11,6,0,520.195,No
219,2,0,0,29,0,0,0,1,8,7,0,0,0,2,114,Singapore,50,13,13,2,0,305.396,No
220,4,1,0,0,0,0,25,0,0,1,0,0,0,0,0,Costa Rica,229,11,15,4,0,617.695,No
221,10,2,0,32,21,2,48,0,0,4,0,0,1,553,0,Connecticut,369,13,8,10,0,735.241,No
222,27,4,0,52,354,3,0,0,0,0,0,0,0,0,97,Argentina,65,13,14,27,0,4127.019,No
223,1,0,0,17,3,0,0,0,0,0,0,0,0,0,3,Brazil,194,9,3,1,0,38.961,Yes
224,3,0,0,8,14,0,0,0,0,45,12,0,0,0,8,Brazil,259,13,10,3,0,252.512,No
225,6,1,0,43,101,0,0,0,0,307,0,0,0,0,6,France,187,7,10,6,0,579.085,No
226,1,2,0,0,0,0,0,0,0,16,0,0,0,10,0,Alabama,16,1,9,1,0,163.787,Yes
227,1,0,0,73,0,0,0,0,0,64,0,0,0,39,0,California,34,12,11,1,0,142.857,No
228,8,0,0,17,0,2,0,0,0,0,0,0,0,0,0,Massachusetts,49,7,16,8,0,1112.644,No
229,1,0,0,15,0,0,0,0,0,0,0,0,0,0,22,Canada,140,6,2,1,0,25.974,Yes
230,2,1,0,35,38,0,0,0,0,1,0,0,2,16,27,Alabama,20,13,12,4,0,623.376,No
231,1,5,0,154,31,0,0,1,0,0,2,0,0,0,0,Bangladesh,13,9,9,1,0,1051.947,Yes
232,1,0,0,9,17,0,8,0,0,0,0,0,0,0,0,Czechia,336,11,2,1,0,12.987,No
233,1,0,0,4,7,0,0,1,0,18,0,0,0,35,0,Illinois,26,8,6,1,0,77.922,Yes
234,15,0,2,117,100,0,177,0,0,0,0,0,0,0,0,District of Columbia,270,12,22,17,0,1331.941,No
235,2,0,0,42,57,0,0,0,0,1,2,0,0,0,6,South Africa,134,5,8,2,0,218.27,Yes
236,17,2,0,19,428,1,391,0,0,0,9,2,0,0,52,Argentina,333,11,9,18,0,1018.056,No
237,2,0,0,12,22,0,6,1,1,8,0,0,0,0,0,Austria,200,13,6,2,0,155.844,No
238,4,0,0,132,48,0,88,1,0,2,0,3,0,33,129,United Kingdom,16,1,14,4,0,584.428,No
239,2,1,1,3,16,0,0,1,0,0,0,0,0,0,0,Jamaica,2,5,6,4,0,311.688,Yes
240,10,11,1,8,143,0,0,1,1,102,21,3,0,0,14,Brazil,36,5,5,17,0,1103.895,Yes
241,2,0,0,23,0,0,12,0,0,0,2,0,0,2,5,Germany,275,13,3,2,0,77.922,No
242,6,0,0,20,11,0,0,0,0,0,0,0,0,0,0,Delaware,22,5,6,6,0,467.532,Yes
243,1,0,0,0,0,0,0,1,0,44,0,0,0,0,0,Connecticut,0,12,12,1,0,155.844,No
244,1,0,0,22,1,0,0,1,0,75,0,0,0,70,2,South Africa,52,12,13,1,0,154.83,No
245,17,1,0,847,40,0,0,0,0,43,0,0,0,580,0,California,245,8,17,18,0,2322.671,No
246,3,29,0,3,48,0,0,1,0,0,0,0,0,0,0,District of Columbia,162,5,17,19,0,4567.16,No
247,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,Maryland,0,0,7,6,0,389.597,Yes
248,7,0,1,24,2,0,11,1,0,0,0,0,0,0,0,Georgia,55,12,10,8,0,1038.96,No
249,5,0,0,8,48,0,0,0,0,0,0,1,0,0,0,California,39,1,12,5,0,390.988,Yes
250,3,0,0,29,8,1,20,0,0,0,0,0,0,0,0,Australia,321,10,3,3,0,77.532,No
251,3,0,0,33,12,0,8,1,0,2,0,0,0,0,0,California,305,10,12,3,0,309.92,No
252,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Canada,20,4,5,5,0,324.675,Yes
253,1,1,0,15,0,0,0,0,0,0,0,2,0,0,0,Ireland,0,0,6,1,0,88.959,Yes
254,1,0,0,42,0,0,0,1,0,0,24,2,0,0,0,Australia,29,4,11,1,0,765.674,Yes
255,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Arizona,320,12,12,4,0,744.367,No
256,6,0,0,20,25,0,0,0,0,0,0,0,0,18,34,Florida,273,9,15,7,0,829.166,No
257,8,3,0,152,2,1,4,0,0,0,0,2,0,0,0,Canada,383,12,11,9,0,1142.856,No
258,1,0,0,2,14,0,0,0,0,0,0,0,0,0,0,Oregon,4,11,12,1,0,155.844,No
259,1,0,0,41,9,0,0,0,0,0,0,0,0,0,9,Switzerland,26,12,10,1,0,129.87,Yes
260,23,2,3,432,120,2,103,0,0,22,0,0,0,8,6,Lebanon,363,12,5,26,0,1094.977,No
261,7,2,0,32,73,0,0,1,0,70,0,0,0,0,0,California,15,12,15,7,0,1148.576,No
262,7,1,0,24,44,0,0,0,0,0,1,0,0,1,0,Arizona,321,12,14,7,0,875.368,No
263,8,1,0,30,181,0,97,0,2,1,11,1,0,0,1,Romania,27,1,12,8,0,1159.366,No
264,6,1,0,109,119,0,39,0,0,9,0,0,0,0,0,Austria,0,0,15,6,0,822.991,No
265,1,7,0,15,1,0,0,1,0,0,3,0,0,0,0,Serbia,46,8,8,1,0,831.168,Yes
266,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,French Polynesia,312,12,2,2,0,51.948,No
267,3,2,0,23,100,1,0,0,0,0,4,1,0,0,3,Brazil,36,1,13,4,0,557.167,No
268,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Virginia,60,10,9,1,0,116.883,Yes
269,9,2,0,75,52,0,0,0,0,0,0,0,0,0,2,Kentucky,223,7,15,9,0,610.727,No
270,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,South Africa,328,11,1,1,0,12.987,No
271,3,0,0,4,0,0,0,0,0,0,1,0,0,0,10,California,11,4,6,3,0,139.425,Yes
272,57,0,0,52,964,0,23,1,8,3,18,0,0,59,57,Germany,233,7,20,57,0,5122.468,No
273,3,0,0,96,97,0,0,1,1,0,0,0,0,0,35,Australia,46,12,13,3,0,465.257,No
274,1,0,0,67,87,0,31,0,0,0,0,0,0,0,0,Colorado,53,13,10,1,0,129.87,No
275,6,0,0,11,13,0,0,0,0,0,3,0,0,0,0,Brazil,178,12,6,6,0,467.532,No
276,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,Florida,29,5,5,1,0,64.935,Yes
277,5,2,1,28,17,1,0,0,0,1,2,0,0,0,9,China,128,4,9,6,0,166.946,Yes
278,1,0,0,20,27,0,0,1,0,0,0,0,0,0,7,South Africa,100,12,10,1,0,114.725,No
279,3,1,0,2,118,0,43,0,0,0,0,0,0,0,1,Australia,181,12,13,4,0,469.547,No
