,ws_users_activated,ws_users_deactivated,ws_users_invited,action_create_project,action_export_report,action_api_and_webhooks,action_time_entries_via_tracker,action_start_trial,action_import_csv,action_create_invoice,action_lock_entries,action_add_targets,action_connect_quickbooks,action_create_expense,action_project_budget,action_screenshots,country,value_days_to_purchase,value_number_of_active_months,value_transactions_number,value_regular_seats,value_kiosk_seats,revenue,churned_status
333,2,3,0,18,22,0,0,0,0,0,1,0,0,0,0,0.0,District of Columbia,1,12,9,2,0,196.144,Yes
334,6,0,0,42,0,0,0,0,0,0,0,0,0,0,0,1.0,California,17,12,11,6,0,857.142,No
338,2,0,0,3,2,0,0,0,0,3,0,0,0,0,0,0.0,Georgia,226,12,4,2,0,103.896,No
339,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,District of Columbia,6,12,12,2,0,401.323,No
340,1,0,0,10,1,0,0,0,0,15,0,0,0,0,1,0.0,Canada,28,11,11,1,0,142.857,No
341,5,0,0,45,40,0,89,1,0,0,0,0,0,8,0,2.0,California,230,10,14,5,0,408.031,No
342,2,0,0,3,4,2,10,0,0,0,0,0,0,0,0,0.0,Florida,225,12,4,3,0,155.844,No
343,1,0,0,4,28,0,0,0,0,23,0,0,0,0,4,0.0,Michigan,50,11,9,1,0,116.883,No
350,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,Illinois,0,3,4,1,0,51.948,Yes
351,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1.0,Oregon,0,12,11,1,0,142.857,No
354,1,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0.0,Guatemala,0,0,6,1,0,64.935,Yes
359,1,0,0,11,21,0,0,0,0,0,0,0,0,0,0,0.0,Czechia,5,12,11,1,0,142.857,No
363,7,0,0,47,0,1,0,1,0,1,0,0,0,0,4,2.0,Indonesia,24,12,11,7,0,999.999,No
364,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,Switzerland,1,11,11,1,0,142.857,No
365,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Philippines,61,2,5,3,0,218.01,Yes
366,3,1,0,17,1,0,0,0,0,49,0,0,0,0,42,0.0,Germany,0,0,12,4,0,564.525,No
368,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Florida,30,6,8,2,0,181.818,Yes
372,2,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0.0,Canada,77,5,4,2,0,64.896,Yes
373,1,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0.0,Brazil,7,4,5,1,0,64.935,Yes
374,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,Missouri,0,12,11,1,0,142.857,No
375,2,5,0,23,4,1,0,1,0,5,2,1,0,0,19,2.0,Australia,87,11,8,2,0,207.792,No
377,1,0,0,5,6,0,0,0,0,0,0,0,0,0,0,1.0,Israel,60,2,2,1,0,25.974,Yes
380,2,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0.0,New York,67,2,10,2,0,233.753,No
383,10,2,0,19,65,1,0,0,0,1,0,0,0,0,22,0.0,Alabama,27,0,13,14,0,1700.556,No
384,1,0,0,23,7,0,8,0,0,0,0,0,0,0,7,0.0,Canada,16,11,11,1,0,142.857,No
386,1,0,0,10,112,1,0,0,0,17,0,0,1,0,3,0.0,Colorado,161,11,12,1,0,127.153,No
387,1,0,0,12,63,0,3,0,0,0,0,0,0,0,18,1.0,United Kingdom,75,11,8,1,0,103.896,No
388,1,0,0,3,2,0,0,0,0,0,0,0,0,0,4,0.0,Czechia,216,7,11,9,0,944.489,No
393,7,1,0,40,66,0,0,1,0,2,7,1,0,0,81,2.0,Brazil,98,7,12,7,0,1072.5,No
394,3,0,0,18,0,0,0,0,0,0,3,0,0,0,0,1.0,Arizona,21,4,5,3,0,194.805,Yes
395,10,0,0,17,23,0,69,0,0,0,0,0,0,0,0,0.0,Colorado,245,11,13,10,0,768.456,No
397,1,0,0,13,0,0,0,0,0,23,0,0,0,2,0,1.0,Alabama,26,12,10,1,0,129.87,No
398,1,0,0,2,4,0,0,0,0,21,0,0,0,24,0,0.0,California,0,9,10,1,0,129.87,Yes
399,1,0,0,1,3,1,0,0,0,1,0,0,0,0,11,0.0,New Jersey,13,3,4,1,0,51.948,Yes
400,4,3,0,0,0,0,90,0,0,0,0,0,0,0,0,0.0,United Kingdom,8,11,11,4,0,571.428,No
402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Canada,1,10,11,1,0,142.857,No
403,3,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0.0,Illinois,0,0,12,3,0,428.558,No
405,1,0,0,15,15,1,0,0,0,0,0,0,0,0,6,0.0,United Kingdom,1,11,11,1,0,142.857,No
407,3,0,1,88,42,1,114,1,0,2,0,0,0,35,22,2.0,Canada,226,11,4,4,0,155.844,No
408,1,0,0,61,14,0,0,1,0,0,0,0,0,0,34,0.0,United Kingdom,5,11,11,1,0,142.857,No
410,1,1,0,23,0,0,0,1,0,0,0,1,0,0,2,2.0,Singapore,99,3,1,1,0,12.974,Yes
411,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Czechia,72,11,9,1,0,116.883,No
412,1,0,0,12,1,0,0,0,0,34,0,0,0,1,27,0.0,Louisiana,52,10,10,1,0,125.97,No
414,2,0,0,4,0,0,0,0,0,0,0,0,0,0,15,1.0,Arizona,58,11,9,2,0,233.766,No
417,2,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0.0,Texas,2,7,8,2,0,207.792,Yes
418,6,0,0,28,0,0,0,1,0,0,0,0,1,0,1,1.0,Australia,232,10,3,6,0,233.766,No
419,1,0,0,3,4,0,0,0,0,17,0,0,0,0,0,0.0,California,232,11,3,1,0,38.961,No
420,6,0,0,12,33,0,0,1,1,0,0,0,0,0,0,1.0,California,81,11,11,6,0,680.303,No
422,1,0,0,7,2,1,0,0,0,7,0,0,0,0,0,1.0,France,4,11,11,1,0,142.857,No
425,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,Delaware,147,5,1,4,0,51.948,Yes
426,1,0,0,83,36,0,2,0,0,3,0,0,0,0,0,0.0,Canada,83,12,8,1,0,103.896,No
427,1,0,0,22,46,0,0,0,0,2,0,0,0,0,0,1.0,California,228,11,3,1,0,38.961,No
430,1,0,0,18,8,0,0,1,0,5,0,0,0,1,0,1.0,Belarus,5,7,8,2,0,311.688,Yes
432,1,0,0,20,9,0,0,0,0,7,0,0,1,0,13,0.0,United Kingdom,5,11,11,1,0,142.857,No
433,12,0,0,17,1,1,0,0,0,0,0,1,0,0,0,2.0,Netherlands,2,0,16,12,0,537.719,Yes
437,2,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0.0,Florida,0,9,10,2,0,259.74,Yes
438,1,0,0,84,0,0,1,0,0,0,0,0,0,0,3,0.0,Luxembourg,179,7,2,1,0,25.974,Yes
440,2,0,0,21,0,0,0,1,0,0,0,0,0,10,0,0.0,Missouri,9,5,6,2,0,155.844,Yes
441,15,0,0,18,51,0,0,0,0,0,0,0,0,0,0,1.0,Egypt,181,7,9,15,0,1079.195,No
442,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0.0,Florida,11,0,4,4,0,160.992,Yes
443,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,Illinois,0,5,6,1,0,77.922,Yes
444,3,0,0,4,10,0,0,0,0,7,0,0,0,0,0,0.0,Florida,67,4,6,3,0,133.848,Yes
446,1,0,0,3,0,0,0,0,0,1,0,0,0,0,3,1.0,France,0,0,5,1,0,38.948,Yes
448,11,1,0,2,0,1,0,0,0,0,2,0,0,0,0,2.0,Illinois,8,0,8,11,0,1088.399,Yes
450,10,0,0,17,15,0,0,0,0,0,0,0,0,0,0,1.0,California,30,1,10,10,0,834.171,Yes
452,3,4,0,5,0,0,0,0,0,0,3,0,0,0,3,2.0,Georgia,181,6,3,4,0,87.607,Yes
453,3,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0.0,Australia,16,1,8,3,0,175.253,Yes
454,1,0,0,2,0,0,0,0,0,0,0,0,0,1,2,1.0,Mexico,0,5,6,1,0,77.922,Yes
455,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2.0,United Kingdom,26,1,3,2,0,41.639,Yes
456,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1.0,Portugal,0,7,8,1,0,103.896,Yes
457,1,0,0,6,12,0,0,0,0,0,0,0,0,0,0,0.0,California,6,0,4,1,0,35.061,Yes
463,1,0,0,8,12,0,0,0,0,28,0,0,0,1,2,0.0,Maryland,82,11,6,1,0,77.922,No
464,2,1,0,2,0,0,0,1,0,1,0,0,0,0,0,2.0,Philippines,98,3,4,2,0,94.458,Yes
466,1,0,0,5,2,1,0,0,0,1,0,0,0,0,1,0.0,United Kingdom,72,11,8,1,0,103.896,No
467,1,0,0,26,11,0,0,1,0,0,0,0,0,0,7,1.0,Belgium,149,7,6,1,0,66.222,Yes
468,4,2,0,0,0,0,9,0,0,0,0,0,0,33,0,0.0,Iowa,94,11,8,4,0,311.688,No
469,4,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0.0,Kentucky,22,6,6,4,0,311.688,Yes
471,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0.0,Colorado,164,11,5,1,0,64.935,No
472,2,0,0,4,18,0,0,0,0,0,0,0,0,0,0,1.0,South Africa,135,5,1,2,0,25.974,Yes
473,8,0,0,49,30,0,0,1,0,10,0,0,0,0,30,0.0,Denmark,36,2,2,8,0,207.792,Yes
474,1,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0.0,California,0,11,11,1,0,142.857,No
475,5,0,0,18,11,1,0,0,0,0,0,0,1,0,4,2.0,Canada,148,5,9,5,0,487.877,No
476,4,0,0,15,6,1,0,1,0,0,2,0,0,0,6,2.0,Malaysia,211,11,5,5,0,305.175,No
477,2,0,0,15,5,0,0,0,0,0,0,0,0,0,14,0.0,Australia,61,11,13,2,0,266.643,No
478,6,1,0,6,0,0,0,1,0,0,0,0,0,0,0,0.0,Australia,8,9,10,6,0,779.22,No
479,1,0,0,14,0,0,0,0,0,0,0,0,0,0,2,1.0,United Kingdom,182,6,4,1,0,77.909,Yes
481,1,0,0,11,46,1,0,0,0,0,0,0,0,0,0,0.0,Canada,64,11,8,1,0,103.896,No
482,2,0,0,0,3,0,0,1,0,24,2,0,0,0,7,0.0,South Africa,130,10,6,2,0,155.844,No
483,4,0,0,1,0,1,0,0,0,0,0,0,0,0,5,0.0,Philippines,149,5,6,4,0,215.553,Yes
486,1,0,0,0,11,0,0,0,0,17,0,0,0,3,0,0.0,California,11,6,6,1,0,77.922,Yes
488,1,1,0,8,0,0,0,0,0,32,0,0,0,0,0,0.0,Arizona,141,11,6,1,0,77.922,No
489,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Florida,7,11,10,4,0,519.48,No
490,1,0,0,14,12,1,0,1,0,0,0,0,0,0,2,1.0,Australia,26,4,4,1,0,51.948,Yes
494,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,New York,1,0,12,2,0,389.597,No
495,2,0,0,3,10,0,0,0,0,0,0,1,0,0,13,0.0,Romania,280,11,1,2,0,25.974,No
496,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,California,0,11,10,1,0,129.87,No
